St. Louis, Missouri April Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193804,57.3,0.8
193904,53.0,-3.5
194004,54.1,-2.4
194104,59.6,3.1
194204,60.1,3.6
194304,55.0,-1.5
194404,53.4,-3.1
194504,56.9,0.4
194604,60.5,4.0
194704,54.8,-1.7
194804,60.3,3.8
194904,54.1,-2.4
195004,51.2,-5.3
195104,52.5,-4.0
195204,55.3,-1.2
195304,52.5,-4.0
195404,62.5,6.0
195504,63.3,6.8
195604,53.8,-2.7
195704,56.8,0.3
195804,56.2,-0.3
195904,57.2,0.7
196004,59.3,2.8
196104,52.1,-4.4
196204,54.3,-2.2
196304,59.5,3.0
196404,60.0,3.5
196504,59.4,2.9
196604,52.8,-3.7
196704,59.5,3.0
196804,56.6,0.1
196904,57.6,1.1
197004,58.7,2.2
197104,56.6,0.1
197204,56.8,0.3
197304,54.4,-2.1
197404,58.2,1.7
197504,54.1,-2.4
197604,57.2,0.7
197704,61.2,4.7
197804,57.0,0.5
197904,53.9,-2.6
198004,54.2,-2.3
198104,62.9,6.4
198204,51.3,-5.2
198304,50.1,-6.4
198404,53.9,-2.6
198504,60.2,3.7
198604,60.6,4.1
198704,56.7,0.2
198804,56.9,0.4
198904,57.2,0.7
199004,55.2,-1.3
199104,61.0,4.5
199204,57.3,0.8
199304,53.6,-2.9
199404,56.9,0.4
199504,56.0,-0.5
199604,53.8,-2.7
199704,51.6,-4.9
199804,56.0,-0.5
199904,59.3,2.8
200004,55.9,-0.6
200104,63.8,7.3
200204,59.5,3.0
200304,58.1,1.6
200404,59.3,2.8
200504,59.0,2.5
200604,62.1,5.6
200704,53.9,-2.6
200804,54.3,-2.2
200904,56.0,-0.5
201004,64.0,7.5
201104,60.5,4.0
201204,60.2,3.7
201304,55.5,-1.0
201404,58.1,1.6
201504,59.8,3.3
201604,59.4,2.9
201704,61.8,5.3
201804,50.2,-6.3
201904,58.8,2.3
202004,55.1,-1.4
202104,57.1,0.6
202204,56.5,0.0
202304,58.5,2.0
