St. Louis, Missouri December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193812,35.7,1.1
193912,36.7,2.1
194012,39.0,4.4
194112,40.2,5.6
194212,31.7,-2.9
194312,31.1,-3.5
194412,28.5,-6.1
194512,27.7,-6.9
194612,39.9,5.3
194712,38.1,3.5
194812,37.7,3.1
194912,39.8,5.2
195012,29.0,-5.6
195112,33.7,-0.9
195212,37.1,2.5
195312,37.8,3.2
195412,36.8,2.2
195512,33.2,-1.4
195612,38.6,4.0
195712,40.9,6.3
195812,30.4,-4.2
195912,39.7,5.1
196012,31.3,-3.3
196112,33.2,-1.4
196212,32.5,-2.1
196312,23.5,-11.1
196412,33.2,-1.4
196512,42.7,8.1
196612,35.9,1.3
196712,35.9,1.3
196812,33.3,-1.3
196912,32.8,-1.8
197012,37.7,3.1
197112,41.3,6.7
197212,31.1,-3.5
197312,30.8,-3.8
197412,34.7,0.1
197512,36.2,1.6
197612,29.7,-4.9
197712,31.6,-3.0
197812,34.7,0.1
197912,38.6,4.0
198012,35.5,0.9
198112,30.9,-3.7
198212,41.4,6.8
198312,20.3,-14.3
198412,40.5,5.9
198512,27.1,-7.5
198612,35.2,0.6
198712,37.9,3.3
198812,36.4,1.8
198912,23.6,-11.0
199012,34.1,-0.5
199112,38.7,4.1
199212,35.2,0.6
199312,36.7,2.1
199412,40.7,6.1
199512,33.1,-1.5
199612,36.2,1.6
199712,35.8,1.2
199812,37.9,3.3
199912,38.9,4.3
200012,22.4,-12.2
200112,40.6,6.0
200212,37.5,2.9
200312,38.7,4.1
200412,37.0,2.4
200512,32.0,-2.6
200612,40.7,6.1
200712,35.5,0.9
200812,32.5,-2.1
200912,33.8,-0.8
201012,30.3,-4.3
201112,40.8,6.2
201212,41.8,7.2
201312,33.0,-1.6
201412,38.4,3.8
201512,45.0,10.4
201612,34.3,-0.3
201712,35.3,0.7
201812,39.4,4.8
201912,40.2,5.6
202012,38.2,3.6
202112,47.0,12.4
202212,35.9,1.3
202312,45.1,10.5
