St. Louis, Missouri January Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193901,38.7,8.2
194001,14.9,-15.6
194101,34.2,3.7
194201,31.6,1.1
194301,30.8,0.3
194401,36.2,5.7
194501,27.9,-2.6
194601,33.6,3.1
194701,36.4,5.9
194801,25.4,-5.1
194901,32.3,1.8
195001,37.5,7.0
195101,32.5,2.0
195201,35.8,5.3
195301,35.1,4.6
195401,32.6,2.1
195501,32.9,2.4
195601,29.0,-1.5
195701,26.8,-3.7
195801,31.1,0.6
195901,27.5,-3.0
196001,33.9,3.4
196101,30.3,-0.2
196201,26.0,-4.5
196301,22.6,-7.9
196401,36.0,5.5
196501,33.0,2.5
196601,26.0,-4.5
196701,35.8,5.3
196801,29.7,-0.8
196901,29.8,-0.7
197001,25.5,-5.0
197101,28.1,-2.4
197201,30.6,0.1
197301,33.3,2.8
197401,30.5,0.0
197501,33.9,3.4
197601,28.8,-1.7
197701,16.6,-13.9
197801,21.1,-9.4
197901,18.1,-12.4
198001,31.6,1.1
198101,30.8,0.3
198201,22.4,-8.1
198301,32.1,1.6
198401,28.1,-2.4
198501,22.4,-8.1
198601,34.7,4.2
198701,30.4,-0.1
198801,29.0,-1.5
198901,40.3,9.8
199001,42.4,11.9
199101,28.8,-1.7
199201,36.5,6.0
199301,31.6,1.1
199401,26.0,-4.5
199501,30.3,-0.2
199601,28.6,-1.9
199701,27.4,-3.1
199801,37.1,6.6
199901,32.1,1.6
200001,33.7,3.2
200101,31.2,0.7
200201,37.7,7.2
200301,28.1,-2.4
200401,30.9,0.4
200501,33.9,3.4
200601,42.4,11.9
200701,34.1,3.6
200801,33.0,2.5
200901,28.9,-1.6
201001,27.2,-3.3
201101,27.8,-2.7
201201,38.1,7.6
201301,35.7,5.2
201401,27.2,-3.3
201501,32.8,2.3
201601,33.5,3.0
201701,37.5,7.0
201801,30.1,-0.4
201901,31.2,0.7
202001,36.1,5.6
202101,35.0,4.5
202201,29.5,-1.0
