St. Louis, Missouri June Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193806,74.3,-1.4
193906,76.3,0.6
194006,76.5,0.8
194106,76.9,1.2
194206,75.1,-0.6
194306,77.9,2.2
194406,79.5,3.8
194506,71.0,-4.7
194606,76.6,0.9
194706,73.9,-1.8
194806,75.5,-0.2
194906,77.8,2.1
195006,74.9,-0.8
195106,73.0,-2.7
195206,83.9,8.2
195306,82.3,6.6
195406,80.2,4.5
195506,72.3,-3.4
195606,77.0,1.3
195706,76.4,0.7
195806,72.3,-3.4
195906,76.8,1.1
196006,74.2,-1.5
196106,73.8,-1.9
196206,75.3,-0.4
196306,76.7,1.0
196406,76.1,0.4
196506,76.1,0.4
196606,74.7,-1.0
196706,75.0,-0.7
196806,78.0,2.3
196906,73.2,-2.5
197006,73.0,-2.7
197106,79.6,3.9
197206,74.1,-1.6
197306,75.3,-0.4
197406,70.2,-5.5
197506,75.6,-0.1
197606,74.2,-1.5
197706,75.3,-0.4
197806,75.4,-0.3
197906,75.4,-0.3
198006,76.3,0.6
198106,75.5,-0.2
198206,70.4,-5.3
198306,75.1,-0.6
198406,79.3,3.6
198506,71.4,-4.3
198606,78.1,2.4
198706,77.7,2.0
198806,77.5,1.8
198906,74.3,-1.4
199006,76.7,1.0
199106,79.4,3.7
199206,73.3,-2.4
199306,74.6,-1.1
199406,78.2,2.5
199506,74.8,-0.9
199606,75.3,-0.4
199706,74.3,-1.4
199806,76.3,0.6
199906,75.6,-0.1
200006,73.6,-2.1
200106,74.8,-0.9
200206,78.0,2.3
200306,71.3,-4.4
200406,74.4,-1.3
200506,78.8,3.1
200606,76.2,0.5
200706,76.4,0.7
200806,76.9,1.2
200906,77.7,2.0
201006,80.6,4.9
201106,78.5,2.8
201206,78.3,2.6
201306,76.0,0.3
201406,77.6,1.9
201506,77.2,1.5
201606,80.8,5.1
201706,77.9,2.2
201806,80.7,5.0
201906,75.6,-0.1
202006,79.0,3.3
202106,78.9,3.2
202206,79.3,3.6
202306,77.2,1.5
