St. Louis, Missouri May Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193805,65.6,-0.8
193905,68.9,2.5
194005,63.6,-2.8
194105,70.1,3.7
194205,65.7,-0.7
194305,65.2,-1.2
194405,71.2,4.8
194505,61.3,-5.1
194605,62.8,-3.6
194705,63.9,-2.5
194805,64.8,-1.6
194905,69.6,3.2
195005,67.8,1.4
195105,68.3,1.9
195205,66.6,0.2
195305,68.0,1.6
195405,62.4,-4.0
195505,69.1,2.7
195605,68.6,2.2
195705,67.0,0.6
195805,66.9,0.5
195905,70.0,3.6
196005,63.1,-3.3
196105,61.8,-4.6
196205,73.4,7.0
196305,65.1,-1.3
196405,70.9,4.5
196505,71.6,5.2
196605,62.7,-3.7
196705,61.8,-4.6
196805,63.0,-3.4
196905,66.4,0.0
197005,69.9,3.5
197105,63.0,-3.4
197205,67.1,0.7
197305,62.4,-4.0
197405,65.7,-0.7
197505,68.2,1.8
197605,62.6,-3.8
197705,71.9,5.5
197805,64.2,-2.2
197905,64.8,-1.6
198005,66.7,0.3
198105,60.5,-5.9
198205,70.5,4.1
198305,62.2,-4.2
198405,63.0,-3.4
198505,67.4,1.0
198605,68.0,1.6
198705,72.4,6.0
198805,68.8,2.4
198905,63.8,-2.6
199005,63.1,-3.3
199105,72.5,6.1
199205,64.6,-1.8
199305,65.9,-0.5
199405,64.2,-2.2
199505,63.8,-2.6
199605,67.9,1.5
199705,62.4,-4.0
199805,71.9,5.5
199905,67.5,1.1
200005,69.7,3.3
200105,69.4,3.0
200205,63.6,-2.8
200305,65.1,-1.3
200405,70.8,4.4
200505,66.5,0.1
200605,66.2,-0.2
200705,70.9,4.5
200805,63.2,-3.2
200905,67.0,0.6
201005,68.1,1.7
201105,66.4,0.0
201205,73.2,6.8
201305,67.2,0.8
201405,69.0,2.6
201505,69.1,2.7
201605,66.0,-0.4
201705,68.2,1.8
201805,75.8,9.4
201905,68.2,1.8
202005,65.1,-1.3
202105,65.3,-1.1
202205,69.2,2.8
202305,69.8,3.4
