St. Louis, Missouri October Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193810,63.9,4.8
193910,61.1,2.0
194010,63.6,4.5
194110,62.2,3.1
194210,58.8,-0.3
194310,57.1,-2.0
194410,60.1,1.0
194510,57.5,-1.6
194610,62.0,2.9
194710,65.8,6.7
194810,56.1,-3.0
194910,60.2,1.1
195010,64.5,5.4
195110,59.5,0.4
195210,54.0,-5.1
195310,62.3,3.2
195410,59.1,0.0
195510,58.6,-0.5
195610,64.8,5.7
195710,55.2,-3.9
195810,59.4,0.3
195910,57.5,-1.6
196010,59.3,0.2
196110,60.5,1.4
196210,62.2,3.1
196310,68.2,9.1
196410,55.3,-3.8
196510,57.5,-1.6
196610,55.3,-3.8
196710,58.5,-0.6
196810,58.0,-1.1
196910,56.8,-2.3
197010,56.8,-2.3
197110,64.4,5.3
197210,55.5,-3.6
197310,61.4,2.3
197410,58.4,-0.7
197510,59.7,0.6
197610,52.1,-7.0
197710,56.5,-2.6
197810,56.2,-2.9
197910,59.0,-0.1
198010,55.8,-3.3
198110,55.5,-3.6
198210,58.1,-1.0
198310,59.6,0.5
198410,61.6,2.5
198510,61.2,2.1
198610,58.1,-1.0
198710,53.6,-5.5
198810,52.8,-6.3
198910,60.8,1.7
199010,57.6,-1.5
199110,60.0,0.9
199210,58.9,-0.2
199310,55.6,-3.5
199410,60.6,1.5
199510,60.1,1.0
199610,58.7,-0.4
199710,59.8,0.7
199810,60.9,1.8
199910,59.5,0.4
200010,62.0,2.9
200110,58.5,-0.6
200210,55.3,-3.8
200310,60.0,0.9
200410,60.2,1.1
200510,58.8,-0.3
200610,55.3,-3.8
200710,63.1,4.0
200810,58.3,-0.8
200910,53.7,-5.4
201010,61.9,2.8
201110,60.5,1.4
201210,56.9,-2.2
201310,59.2,0.1
201410,59.1,0.0
201510,60.6,1.5
201610,65.1,6.0
201710,61.9,2.8
201810,59.9,0.8
201910,57.7,-1.4
202010,56.8,-2.3
202110,63.9,4.8
202210,58.7,-0.4
202310,61.2,2.1
