St. Louis, Missouri September Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193809,72.7,2.5
193909,75.8,5.6
194009,69.5,-0.7
194109,72.5,2.3
194209,69.1,-1.1
194309,66.5,-3.7
194409,70.3,0.1
194509,69.9,-0.3
194609,69.2,-1.0
194709,71.7,1.5
194809,71.7,1.5
194909,64.4,-5.8
195009,67.8,-2.4
195109,66.8,-3.4
195209,70.5,0.3
195309,72.9,2.7
195409,75.1,4.9
195509,74.1,3.9
195609,71.3,1.1
195709,68.9,-1.3
195809,69.6,-0.6
195909,71.7,1.5
196009,74.5,4.3
196109,72.3,2.1
196209,67.7,-2.5
196309,69.8,-0.4
196409,70.6,0.4
196509,70.1,-0.1
196609,66.7,-3.5
196709,67.6,-2.6
196809,69.1,-1.1
196909,70.0,-0.2
197009,72.5,2.3
197109,73.2,3.0
197209,71.8,1.6
197309,70.7,0.5
197409,63.0,-7.2
197509,65.4,-4.8
197609,69.2,-1.0
197709,71.7,1.5
197809,73.4,3.2
197909,69.6,-0.6
198009,72.1,1.9
198109,69.0,-1.2
198209,67.8,-2.4
198309,71.7,1.5
198409,68.0,-2.2
198509,70.7,0.5
198609,73.1,2.9
198709,70.3,0.1
198809,71.7,1.5
198909,66.9,-3.3
199009,73.6,3.4
199109,71.9,1.7
199209,68.7,-1.5
199309,65.9,-4.3
199409,69.4,-0.8
199509,67.2,-3.0
199609,67.9,-2.3
199709,70.9,0.7
199809,75.7,5.5
199909,70.4,0.2
200009,70.3,0.1
200109,69.5,-0.7
200209,73.4,3.2
200309,67.7,-2.5
200409,71.5,1.3
200509,73.9,3.7
200609,67.5,-2.7
200709,74.1,3.9
200809,70.3,0.1
200909,69.8,-0.4
201009,71.3,1.1
201109,67.7,-2.5
201209,69.4,-0.8
201309,73.9,3.7
201409,69.6,-0.6
201509,74.6,4.4
201609,74.9,4.7
201709,73.1,2.9
201809,75.1,4.9
201909,78.2,8.0
202009,71.2,1.0
202109,74.9,4.7
202209,71.4,1.2
202309,74.2,4.0
